"Payment ID","Payment Date","Amount","Category","Payee"
"1","2025-04-10 12:00","58.5","food","alice"
"2","2025-04-11 09:31","120.0","transportation","bob"
"3","2025-04-12 20:14","75.0","entertainment","charlie"
"4","2025-04-12 21:40","100.0","food","John"
"5","2025-04-12 21:41","100.0","food","John"
"6","2025-04-12 21:44","100.0","living expenses","John"
"7","2025-04-12 23:50","200.0","transportation","Mary"
"8","2025-04-25 8:18","150.0","education","hannah"
"9","2025-05-01 10:13","95.0","living expenses","Tom"
"10","2025-05-02 13:20","1800.0","other","lucy"
"11","2025-05-04 11:45","70.0","entertainment","Emma"
"12","2025-05-8 14:05","85.0","education","oliver"
"13","2025-05-10 15:30","60.0","other","alice"
"14","2025-05-13 16:45","55.0","living expenses","Lucas"
"15","2025-05-13 17:00","90.0","transportation","Ava"
"16","2025-05-14 18:15","130.0","other","nina"
"17","2025-05-14 19:24","3.5","other","nina"
"18","2025-05-14 19:25","3.5","other","nina"
"19","2025-05-14 19:26","3.5","other","nina"
"20","2025-05-14 19:50","3.5","other","nina"
"21","2025-05-15 7:25","45.0","food","sophia"
"22","2025-05-15 19:25","45.0","food","sophia"
"23","2025-05-16 20:35","125.0","entertainment","Liam"
"24","2025-05-17 21:45","105.0","education","noah"
"25","2025-05-18 22:55","200.0","living expenses","mia"
"26","2025-05-19 08:10","88.0","other","ben"
"27","2025-05-20 09:20","100.0","food","james"
"28","2025-05-21 10:30","77.0","transportation","ella"
"29","2025-05-22 11:40","66.0","entertainment","zoe"
"30","2025-05-23 12:50","55.0","education","olivia"
"31","2025-05-24 14:00","144.0","living expenses","isabella"
"32","2025-05-25 15:10","123.0","other","Henry"
"33","2025-05-26 16:20","99.0","transportation","Chloe"
"34","2025-05-27 17:30","99.9","entertainment","Daniel"
"35","2025-05-29 19:50","112.0","education","Jack"
"36","2023-09-08 21:53","921.2","other","Taobao - Book Haven (Paris)"
"37","2023-05-27 05:43","693.2","food","Guangzhou Starbucks"
"38","2023-09-06 06:48","161.5","other","Pinduoduo - Happy Life Store (Paris)"
"39","2023-11-29 13:52","655.9","entertainment","Hong Kong Escape Room X"
"40","2023-09-12 05:37","76.7","education","Tokyo Scholar Bookstore"
"41","2023-02-25 22:02","504.2","entertainment","Hong Kong Escape Room X"
"42","2023-05-23 20:24","882.7","entertainment","Shanghai Music Hall"
"43","2023-04-10 02:24","658.6","transportation","Paris Public Transport - Line 2 Express"
"44","2024-02-26 14:54","195.5","other","Pinduoduo - Book Haven (London)"
"45","2023-07-22 02:00","404.4","other","Pinduoduo - Happy Life Store (Beijing)"
"46","2024-10-07 04:33","564.3","living expenses","Hong Kong Sunrise Property Mgmt"
"47","2023-12-07 03:43","262.4","other","JD.com - Book Haven (Shanghai)"
"48","2024-05-02 12:45","844.5","other","Pinduoduo - Happy Life Store (Beijing)"
"49","2024-01-01 04:50","872.1","food","Beijing Hotpot King"
"50","2023-11-28 15:58","781.6","living expenses","Paris Sunrise Property Mgmt"
"51","2024-02-04 22:27","902.0","other","Taobao - Book Haven (Hong Kong)"
"52","2023-06-23 08:06","194.0","living expenses","Shanghai ClearWater Utility"
"53","2024-08-18 19:43","658.0","entertainment","Shanghai Arcade World"
"54","2023-04-25 00:55","634.4","entertainment","London IMAX Theater"
"55","2023-09-30 12:50","145.7","living expenses","London South Grid Power Co."
"56","2023-05-23 05:56","986.6","entertainment","Tokyo Livehouse Galaxy"
"57","2024-11-28 01:49","507.3","food","New York Dim Sum Garden"
"58","2024-10-30 05:16","206.5","other","JD.com - Techie Gadgets (London)"
"59","2023-11-24 20:11","539.9","other","Taobao - Happy Life Store (New York)"
"60","2023-04-27 07:36","865.5","transportation","Shanghai Public Transport - Line 2 Express"
"61","2024-09-30 17:02","965.6","education","New York STEM Academy"
"62","2023-12-22 08:47","66.0","education","Shanghai Scholar Bookstore"
"63","2023-12-02 01:09","272.4","entertainment","Paris Escape Room X"
"64","2023-09-22 17:45","146.9","other","Taobao - Fashion Avenue (Paris)"
"65","2024-06-21 22:21","180.8","entertainment","Guangzhou IMAX Theater"
"66","2023-06-23 15:12","968.9","other","Pinduoduo - Pet Paradise (New York)"
"67","2023-02-26 20:52","526.9","other","Pinduoduo - Book Haven (New York)"
"68","2024-10-19 11:20","909.4","transportation","Shanghai Public Transport - Route 303"
"69","2023-11-18 03:19","348.0","food","Hong Kong Noodle House"
"70","2024-11-25 04:56","955.6","other","Pinduoduo - Techie Gadgets (Guangzhou)"
"71","2024-08-22 14:39","658.2","living expenses","Paris South Grid Power Co."
"72","2023-03-01 21:55","565.6","education","Beijing New Horizon Language School"
"73","2023-06-25 02:36","186.7","entertainment","Guangzhou Escape Room X"
"74","2024-07-16 23:50","318.0","transportation","Guangzhou Public Transport - Line 2 Express"
"75","2023-10-01 11:41","231.5","living expenses","London ClearWater Utility"
"76","2024-03-23 16:02","327.6","entertainment","Guangzhou Escape Room X"
"77","2024-05-28 21:59","799.2","living expenses","Tokyo Sunrise Property Mgmt"
"78","2023-10-03 17:18","503.7","food","Hong Kong Starbucks"
"79","2023-08-05 18:24","497.5","entertainment","Beijing IMAX Theater"
"80","2023-02-20 13:54","909.1","food","Shanghai Starbucks"
"81","2024-02-16 07:01","867.0","other","Taobao - Fashion Avenue (Beijing)"
"82","2024-01-30 09:30","365.3","living expenses","New York South Grid Power Co."
"83","2024-11-30 15:07","259.0","living expenses","Hong Kong GasWell Co."
"84","2023-03-23 08:48","786.5","food","Hong Kong Dim Sum Garden"
"85","2024-03-04 02:43","13.6","transportation","Tokyo Public Transport - Route 21"
